concept_code,estimate,lower,upper,p_value,warning,lestimate,llower,lupper,lci,p_holm,p_fdr,num_patients_ever_severe_icd1,num_patients_never_severe_icd1,num_patients_ever_severe_icd0,num_patients_never_severe_icd0,Observed,Expected,over_sev,drr,lower_drr,upper_drr,ci_drr
R41,1.3748921305866575,1.307147589922314,1.446147615864452,1.0451286120062276e-36,No warning,0.45931843407558903,0.38642204490362647,0.5322148232475518,"(0.39, 0.53)",2.0902572240124552e-35,2.0902572240124552e-35,517,191,798,962,517,217.83607979184737,299.1639202081526,37,30.714758992231395,44.6147615864452,"(31, 45)"
G93,1.3129502299395273,1.2559668030725135,1.3725190045478703,8.379174271717688e-35,No warning,0.39281222896474377,0.328798332322222,0.45682612560726543,"(0.33, 0.46)",1.5920431116263606e-33,8.379174271717688e-34,442,148,873,1005,442,168.7944492627927,273.2055507372073,31,25.59668030725135,37.251900454787034,"(26, 37)"
G72,1.031372549019608,1.021574119760657,1.041264959923244,1.0740346031095502e-11,No warning,0.044565552433444566,0.030793881831133726,0.058337223035755496,"(0.03, 0.06)",1.9332622855971904e-10,7.160230687397002e-11,40,0,1275,1153,40,0,40,3,2.157411976065693,4.126495992324397,"(2, 4)"
I67,1.0694616006844975,1.0475548997764903,1.091826419391176,2.7578909503637706e-10,No warning,0.09688468306715879,0.06702585400559904,0.12674351212871865,"(0.07, 0.13)",4.68841461561841e-9,1.3789454751818853e-9,127,39,1188,1114,127,44.479618386816995,82.520381613183,7,4.75548997764903,9.182641939117598,"(5, 9)"
G40,1.0592458218299867,1.0355275011795522,1.0835074006110224,8.970069384935867e-7,No warning,0.08303743803666612,0.05036586866079621,0.115709007412536,"(0.05, 0.12)",1.4352111015897387e-5,3.5880277539743466e-6,136,58,1179,1095,136,66.14917606244579,69.85082393755421,6,3.552750117955217,8.350740061102236,"(4, 8)"
G45,1.0250895809649518,1.0102390161384334,1.0401584498483751,0.0012255000557810697,No warning,0.03574999008855185,0.01469666585073948,0.05680331432636411,"(0.01, 0.06)",0.017850556793509362,0.003501428730803056,60,25,1255,1128,60,28.512575888985257,31.487424111014743,3,1.0239016138433366,4.015844984837513,"(1, 4)"
I60,1.0141731098545337,1.0058263818006876,1.022589102217276,0.0011900371195672909,No warning,0.020303927896390007,0.008381299445887098,0.0322265563468931,"(0.01, 0.03)",0.017850556793509362,0.003501428730803056,24,5,1291,1148,24,5.702515177797051,18.29748482220295,1,0.5826381800687619,2.2589102217275947,"(1, 2)"
I62,1.0146666477976105,1.0052838092109595,1.024137061314979,0.0036344462763957417,No warning,0.021005831291497357,0.0076028569647015164,0.03440880561829299,"(0.01, 0.03)",0.047247801593144644,0.009086115690989355,28,8,1287,1145,28,9.124024284475281,18.875975715524717,1,0.52838092109595,2.4137061314978947,"(1, 2)"
M60,1.0061208875286916,1.0019367405890227,1.0103225077128313,0.008671432733995517,Chi-squared approximation may be incorrect,0.008803658384231333,0.0027914237831007803,0.014815892985361782,"(0, 0.01)",0.1040571928079462,0.01926985051999004,8,0,1307,1153,8,0,8,1,0.19367405890227118,1.0322507712831275,"(0, 1)"
G61,1.0060179915501077,1.0012564139930895,1.010802213277505,0.023897477298812187,Chi-squared approximation may be incorrect,0.008656106423774557,0.0018114844880518107,0.015500728359497347,"(0, 0.02)",0.26287225028693406,0.046910464410825456,9,1,1306,1152,9,1.1405030355594101,7.85949696444059,1,0.12564139930895113,1.0802213277504968,"(0, 1)"
I61,1.0132862383012233,1.0024491583449175,1.0242404736274564,0.025800755425954003,No warning,0.01904177161726371,0.0035290687363916653,0.03455447449813552,"(0, 0.03)",0.26287225028693406,0.046910464410825456,33,14,1282,1139,33,15.967042497831745,17.032957502168255,1,0.24491583449175458,2.4240473627456405,"(0, 2)"
R27,1.0111219608184048,1.0011583105668236,1.021184770538861,0.037390005203814594,No warning,0.015957024595872574,0.0016701218373028107,0.030243927354442094,"(0, 0.03)",0.33651004683433133,0.06231667533969099,28,12,1287,1141,28,13.686036426712922,14.313963573287078,1,0.11583105668235838,2.118477053886103,"(0, 2)"
G04,1.0052482761778427,1.0007338741534888,1.009783043082575,0.04236584494070408,Chi-squared approximation may be incorrect,0.007551862174771842,0.001058368294789811,0.01404535605475405,"(0, 0.01)",0.3389267595256326,0.06517822298569859,8,1,1307,1152,8,1.1405030355594101,6.85949696444059,1,0.07338741534888005,0.9783043082574938,"(0, 1)"
H54,1.012587793139806,1.0001432068109564,1.0251872250226137,0.05237677254645739,No warning,0.01804699761355511,2.0658896386796166e-4,0.035887406263242196,"(0, 0.04)",0.3666374078252017,0.07482396078065341,40,21,1275,1132,40,23.950563746747612,16.049436253252388,1,0.014320681095636445,2.5187225022613724,"(0, 3)"
G46,1.0030511060259344,1.000148083668058,1.005962554674825,0.12792984928857293,Chi-squared approximation may be incorrect,0.0043951139579101375,2.1362375683962938e-4,0.008576604158980681,"(0, 0.01)",0.7675790957314376,0.1705731323847639,4,0,1311,1153,4,0,4,0,0.014808366805807438,0.5962554674824982,"(0, 1)"
G03,1.002946180888886,0.9992639833131747,1.0066419470302745,0.22423741505668174,Chi-squared approximation may be incorrect,0.004244191545392631,-0.0010622385847269915,0.009550621675512135,"(0, 0.01)",1,0.2802967688208522,5,1,1310,1152,5,1.1405030355594101,3.8594969644405897,0,-0.07360166868253248,0.6641947030274542,"(0, 1)"
F29,1.0048563521438936,0.992072799382627,1.017804629934716,0.5261921465261972,No warning,0.006989277661128062,-0.011482103857175126,0.02546065917943114,"(-0.01, 0.03)",1,0.6190495841484672,37,27,1278,1126,37,30.793581960104074,6.206418039895926,0,-0.7927200617372954,1.7804629934716099,"(-1, 2)"
R42,1.0051230851386093,0.9779839418682095,1.0330153421012895,0.744734318608751,No warning,0.007372181449931968,-0.0321173180301966,0.046861680930060684,"(-0.03, 0.05)",1,0.8274825762319455,144,121,1171,1032,144,138.00086730268862,5.999132697311381,1,-2.201605813179053,3.3015342101289535,"(-2, 3)"
G44,1.0000382929924496,0.9893444678021789,1.0108477077482578,1,No warning,5.524405258456836e-5,-0.015455172017905422,0.015565660123074691,"(-0.02, 0.02)",1,1,24,21,1291,1132,24,23.950563746747612,0.049436253252387985,0,-1.0655532197821116,1.0847707748257829,"(-1, 1)"
R43,0.9998087520671161,0.9905317974826778,1.00917259117821,1,No warning,-2.7593883155863455e-4,-0.013724806461896269,0.013172928798778842,"(-0.01, 0.01)",1,1,18,16,1297,1137,18,18.248048568950562,-0.24804856895056204,-0,-0.9468202517322166,0.9172591178209899,"(-1, 1)"
